Word, Count
b'national',6
b'harm',1
b'extremists',1
b'enemy',2
b'time',11
b'Thank',7
b'centennial',1
b'alliance',2
b'dethroned',1
b'or',7
b'White',1
b'concerns',1
b'government',2
b'guided',3
b'acceptable',1
b'asking',6
b'now\xe2\x80\x94you',1
b'neighbors',2
b'reason',1
b'forever',1
b'been',9
b'4000',1
b'20',2
b'At',4
b'wall',1
b'pressing',1
b'these',3
b'legal',2
b'frank',1
b'According',2
b'leave',4
b'long',7
b'Education',1
b'former',1
b'But',14
b'Obamacare',5
b'longer',2
b'food',1
b'voice',1
b'begin',2
b'economy',1
b'lawless',2
b'countries',4
b'let',1
b'illegal',2
b'targeting',1
b'grasp',1
b'moment',2
b'lobbyists',1
b'peace',3
b'improve',1
b'light',2
b'blinded',1
b'Nation',9
b'ignored',2
b'look',4
b'speak',2
b'initiated',1
b'executive',1
b'parents',1
b'differences',1
b'instead',1
b'condemning',1
b'restore',2
b'construction',2
b'proudly',1
b'restart',1
b'Reducing',1
b'no',5
b'terrorism',4
b'youth',2
b'ultimately',1
b'open',1
b'ask',2
b'truly',3
b'Crime',2
b'State',5
b'Michael',1
b'everything',1
b'5year',1
b'advice',1
b'good',5
b'see',2
b'fathers',2
b'Lady',1
b'vandalism',1
b'Because',1
b'Merriweather',1
b'networks',1
b'By',1
b'aspirations',1
b'exported',1
b'put',2
b'market',1
b'scholarship',1
b'Prime',1
b'while',4
b'by',25
b'got',1
b'failed',2
b'will',56
b'Yet',1
b'disaster',1
b'loses',1
b'Ninetyfour',1
b'percent',2
b'doctors',1
b'spoken',1
b'stir',1
b'system',7
b'nonessential',1
b'remind',1
b'last',6
b'slaughtered',1
b'very',15
b'failing',1
b'laws',4
b'border',2
b'member',1
b'safer',1
b'forced',1
b'unbroken',1
b'raged',1
b'soon',1
b'Rare',1
b'living',1
b'With',1
b'reaffirmed',1
b'new',18
b'achieve',3
b'refused',1
b'East',2
b'burdened',1
b'man',2
b'It',6
b'strongly',2
b'coal',1
b'young',3
b'died',1
b'fantastic\xe2\x80\x94new',1
b'counties',1
b'mind',1
b'costs',4
b'deliver',2
b'defeated',1
b'masters',1
b'defense',2
b'yourselves',1
b'calling',3
b'trust',1
b'so',15
b'Then',1
b'offenses',1
b'free',5
b'An',2
b'Laughter',4
b'cases',1
b'mothers',2
b'schools',1
b'World',2
b'partners',1
b'Your',1
b'8',1
b'left',2
b'Vice',1
b'warriors',1
b'would',3
b'story',1
b'crumbling',1
b'crumbled',1
b'foe\xe2\x80\x94will',1
b'hands',1
b'health',9
b'Bible',1
b'weeks',1
b'pouring',2
b'vile',1
b'nation',4
b'Currently',1
b'serious',1
b'Intelligence',1
b'must',20
b'unveiled',1
b'allow',4
b'gang',2
b'law',4
b'freedom',3
b'deserves',1
